index,name,address,sido,gungu
171,남양주도곡점,경기도 남양주시 와부읍 덕소로 194-14,경기도,경기도
172,남원노암점,"전라북도 남원시 노암동 260, 한신아파트상가 102호",전라북도,전라북도
173,남원점,제주특별자치도 서귀포시 남원읍 남원리 100-1,제주특별자치도,제주특별자치도
174,남창점,울산광역시 울주군 온양읍 대안리 411-4,울산광역시,울산광역시
175,남촌점,경기도 오산시 오산동 614-23,경기도,경기도
176,남해대교점,경상남도 남해군 설천면 노량로 197,경상남도,경상남도
177,남해점,경상남도 남해군 남해읍 서변리 149-1,경상남도,경상남도
178,내곡동점,강원도 강릉시 관대길 70,강원도,강원도
179,내동2점,대전광역시 서구 내동 160-19,대전광역시,대전광역시
180,내동점,경기도 부천시오정구 삼작로96번길 21(내동),경기도,경기도
181,내면점,강원도 홍천군 내면읍 창촌로 48,강원도,강원도
182,내서점,경상남도 창원시마산회원구 내서읍 죽암로43-1,경상남도,경상남도
183,내포1점,충청남도 홍성군 홍북면 애향2길 2,충청남도,충청남도
184,노량진2동점,서울특별시 동작구 노량진2동 306-5,서울특별시,서울특별시
185,노암점,강원도 강릉시 노가니길 1(노암동),강원도,강원도
186,노은반석점,"대전광역시 유성구 노은서로266번 77, 104호(지상1층)",대전광역시,대전광역시
187,노학점,강원도 속초시 교동 교동로 55(교동),강원도,강원도
188,녹양점,경기도 의정부시 비우로 102-1,경기도,경기도
189,논산2점,충청남도 논산시 취암동 610-2,충청남도,충청남도
190,논산대교점,충청남도 논산시 대교동 250-14,충청남도,충청남도
191,논산주공점,"충청남도 논산시 논산대로 348번길 7, 상가-101(취암동,주공아파트)",충청남도,충청남도
192,논현동점,"서울특별시 강남구 강남대로128길 27(논현동, 지상1층 102호)",서울특별시,서울특별시
193,논현주공점,인천광역시 남동구 논현동 563-6,인천광역시,인천광역시
194,농암점,경상북도 문경시 농암면 청암2길 10,경상북도,경상북도
195,능곡점,경기도 고양시덕양구 토당로78번길 7-10(토당동),경기도,경기도
196,능주점,전라남도 화순군 능주면 죽수길50,전라남도,전라남도
197,다인점,경상북도 의성군 다인면 서릉길 31,경상북도,경상북도
198,단계점,강원도 원주시 원문로 89 (학성동),강원도,강원도
199,단계택지점,강원도 원주시 금불3길 34(단계동),강원도,강원도
200,단관점,강원도 원주시 단관길 163(관설동),강원도,강원도
201,단구점,강원도 원주시 치악로 1596(단구동),강원도,강원도
202,단월동점,경기도 이천시 단월로 29(단월동),경기도,경기도
203,단촌점,경상북도 의성군 단촌면 하화리 248-1,경상북도,경상북도
204,달동1점,울산광역시 남구 달동 1329-9,울산광역시,울산광역시
205,달동2점,"울산광역시 남구 번영로107번길 3, 203(달동, 주공아파트)",울산광역시,울산광역시
206,달전점,경상북도 포항시북구 흥해읍 도음로877번길 9 삼도미래타운106-106,경상북도,경상북도
207,달천점,울산광역시 북구 달천로 103-19(달천아이파크 2차상가 100동 B109호),울산광역시,울산광역시
208,답십리점,"서울특별시 동대문구 전농로3길 52-2, 1층(답십리동)",서울특별시,서울특별시
209,당감점,부산광역시 부산진구 당감동 739-10,부산광역시,부산광역시
210,당산동점,서울특별시 영등포구 영등포동8가 29-2,서울특별시,서울특별시
211,당수동점,경기도 수원시권선구 당수동 218-1,경기도,경기도
212,당진1점,충청남도 당진군 당진중앙2로 54-5,충청남도,충청남도
213,당진2점,충청남도 당진군 무수동로 195,충청남도,충청남도
214,당진3점,충청남도 당진군 원당로 55(원당동),충청남도,충청남도
215,당진신평점,충청남도 당진군 신평면 신평로 827,충청남도,충청남도
216,대강점,충청북도 단양군 대강면 대강로 59-1,충청북도,충청북도
217,대고점,"대전광역시 중구 테미로 31-1(대흥동, 1층)",대전광역시,대전광역시
218,대광리점,경기도 연천군 신서면 도대로 3번길 33호,경기도,경기도
219,대구고성점,대구광역시 서구 원대로13길 16,대구광역시,대구광역시
220,대구남산점,대구광역시 중구 남산로2길 13(남산동),대구광역시,대구광역시
221,대구대명점,대구광역시 남구 두류공원로17길 48 (지하1층),대구광역시,대구광역시
